Player,Season,From Club,To Club,Market Value,Transfer Fee
Viktor Tsygankov,16/17,Dynamo Kyiv II,Dynamo Kyiv,-,-
Viktor Tsygankov,14/15,Dynamo Kyiv U17,Dynamo Kyiv II,-,-
Alex Iwobi,23/24,Everton,Fulham,€28.00m,€25.70m
Alex Iwobi,19/20,Arsenal,Everton,€25.00m,€30.40m
Alex Iwobi,15/16,Arsenal U21,Arsenal,-,-
Alex Iwobi,14/15,Arsenal U18,Arsenal U21,-,-
Alex Iwobi,12/13,Arsenal Youth,Arsenal U18,-,-
Konrad Laimer,23/24,RB Leipzig,Bayern Munich,€28.00m,free transfer
Konrad Laimer,17/18,RB Salzburg,RB Leipzig,€8.00m,€7.00m
Konrad Laimer,14/15,FC Liefering,RB Salzburg,€350k,-
Konrad Laimer,14/15,AKA Salzb. U18,FC Liefering,€75k,-
Konrad Laimer,13/14,AKA Salzb. U16,AKA Salzb. U18,-,-
Konrad Laimer,12/13,AKA Salzb. U15,AKA Salzb. U16,-,-
Konrad Laimer,11/12,Salzburg Youth,AKA Salzb. U15,-,-
Konrad Laimer,07/08,Abersee Yth.,Salzburg Youth,-,?
Emiliano Martínez,20/21,Arsenal,Aston Villa,€8.00m,€17.40m
Emiliano Martínez,18/19,Reading,Arsenal,€1.00m,End of loan
Emiliano Martínez,18/19,Arsenal,Reading,€1.00m,loan transfer
Emiliano Martínez,17/18,Getafe,Arsenal,€1.00m,End of loan
Emiliano Martínez,17/18,Arsenal,Getafe,€1.00m,loan transfer
Emiliano Martínez,15/16,Wolves,Arsenal,€1.50m,End of loan
Emiliano Martínez,15/16,Arsenal,Wolves,€1.50m,loan transfer
Emiliano Martínez,14/15,Rotherham,Arsenal,€1.00m,End of loan
Emiliano Martínez,14/15,Arsenal,Rotherham,€1.00m,loan transfer
Emiliano Martínez,13/14,Sheff Wed,Arsenal,€300k,End of loan
Emiliano Martínez,13/14,Arsenal,Sheff Wed,-,loan transfer
Emiliano Martínez,12/13,Arsenal U21,Arsenal,-,-
Emiliano Martínez,11/12,Oxford United,Arsenal Res.,-,End of loan
Emiliano Martínez,11/12,Arsenal Res.,Oxford United,-,loan transfer
Emiliano Martínez,10/11,Indep'te U20,Arsenal Res.,-,€1.50m
Aleksandar Mitrovic,23/24,Fulham,Al-Hilal,€28.00m,€52.60m
Aleksandar Mitrovic,18/19,Newcastle,Fulham,€15.00m,€24.70m
Aleksandar Mitrovic,17/18,Fulham,Newcastle,€8.00m,End of loan
Aleksandar Mitrovic,17/18,Newcastle,Fulham,€8.00m,"Loan fee:
€600k"
Aleksandar Mitrovic,15/16,RSC Anderlecht,Newcastle,€11.00m,€18.50m
Aleksandar Mitrovic,13/14,Partizan,RSC Anderlecht,€3.00m,€5.00m
Aleksandar Mitrovic,12/13,Partizan U19,Partizan,-,-
Aleksandar Mitrovic,11/12,Teleoptik,Partizan U19,-,End of loan
Aleksandar Mitrovic,11/12,Partizan U19,Teleoptik,-,loan transfer
Aleksandar Mitrovic,10/11,Partizan U17,Partizan U19,-,-
Thiago Almada,21/22,Vélez Sarsfield,Atlanta,€20.00m,€14.55m
Thiago Almada,18/19,Vélez U20,Vélez Sarsfield,-,-
Mats Wieffer,22/23,Excelsior,Feyenoord,€400k,€575k
Mats Wieffer,20/21,FC Twente U21,Excelsior,€25k,free transfer
Mats Wieffer,18/19,FC Twente U19,FC Twente U21,-,-
Mats Wieffer,16/17,FC Twente U17,FC Twente U19,-,-
Mats Wieffer,15/16,FC Twente Youth,FC Twente U17,-,-
Denzel Dumfries,21/22,PSV Eindhoven,Inter,€16.00m,€14.25m
Denzel Dumfries,18/19,Heerenveen,PSV Eindhoven,€4.00m,€5.50m
Denzel Dumfries,17/18,Sparta R.,Heerenveen,€1.00m,€750k
Denzel Dumfries,15/16,Sparta U21,Sparta R.,€50k,-
Denzel Dumfries,14/15,Barendrecht U19,Sparta U21,-,free transfer
Denzel Dumfries,13/14,Smitshoek U19,Barendrecht U19,-,free transfer
Olivier Boscagli,19/20,OGC Nice,PSV Eindhoven,€3.00m,€2.00m
Olivier Boscagli,17/18,Nîmes Olympique,OGC Nice,€2.00m,End of loan
Olivier Boscagli,17/18,OGC Nice,Nîmes Olympique,€800k,loan transfer
Olivier Boscagli,15/16,OGC Nice B,OGC Nice,-,-
Olivier Boscagli,14/15,Nizza U19,OGC Nice B,-,-
Murillo,23/24,Corinthians,Nottm Forest,€3.50m,€12.00m
Murillo,22/23,Corinthians U20,Corinthians,-,-
Pau Cubarsí,23/24,Barça Atlètic,Barcelona,€1.50m,-
Pau Cubarsí,23/24,Barça U19,Barça Atlètic,-,-
Pau Cubarsí,23/24,Barça U18,Barça U19,-,-
Pau Cubarsí,22/23,Barça Youth,Barça U18,-,-
Pau Cubarsí,18/19,Girona FC Youth,Barça Youth,-,?
André,20/21,Fluminense U20,Fluminense,€250k,-
André,17/18,Fluminense U17,Fluminense U20,-,-
Aleksandar Pavlovic,23/24,FC Bayern II,Bayern Munich,€200k,-
Aleksandar Pavlovic,23/24,FC Bayern U19,FC Bayern II,-,-
Aleksandar Pavlovic,21/22,FC Bayern U17,FC Bayern U19,-,-
Aleksandar Pavlovic,20/21,B. München Yth.,FC Bayern U17,-,-
Aleksandar Pavlovic,11/12,Fürstenf. Yth.,B. München Yth.,-,free transfer
Pablo Barrios,22/23,Atl. Madrid B,Atlético Madrid,€500k,-
Pablo Barrios,22/23,Atl. Madrid U19,Atl. Madrid B,-,-
Pablo Barrios,21/22,Atl.Madleño U18,Atl. Madrid U19,-,-
Pablo Barrios,20/21,Atl. Madrid U17,Atl.Madleño U18,-,-
Pablo Barrios,17/18,R.Madrid Yth.,Atléti Youth,-,?
Alan Varela,23/24,Boca Juniors,FC Porto,€9.00m,€8.00m
Alan Varela,20/21,Boca Juniors II,Boca Juniors,-,-
Alan Varela,18/19,CABJ U20,Boca Juniors II,-,-
Igor Thiago,24/25,Club Brugge,Brentford,€25.00m,€33.00m
Igor Thiago,23/24,Ludogorets,Club Brugge,€4.00m,€11.00m
Igor Thiago,21/22,Cruzeiro,Ludogorets,€400k,€1.32m
Igor Thiago,20/21,Cruzeiro U20,Cruzeiro,-,-
Lesley Ugochukwu,23/24,Stade Rennais,Chelsea,€9.00m,€27.00m
Lesley Ugochukwu,21/22,Rennes B,Stade Rennais,€300k,-
Lesley Ugochukwu,20/21,Rennes U19,Rennes B,-,-
Lesley Ugochukwu,19/20,Rennes Jugend,Rennes U19,-,-
Samuel Lino,22/23,Valencia,Atlético Madrid,€16.00m,End of loan
Samuel Lino,22/23,Atlético Madrid,Valencia,€7.00m,loan transfer
Samuel Lino,22/23,Gil Vicente,Atlético Madrid,€7.00m,€6.50m
Samuel Lino,19/20,São Bernardo,Gil Vicente,-,?
Samuel Lino,17/18,Flamengo U20,São Bernardo,-,End of loan
Samuel Lino,17/18,São Bernardo,Flamengo U20,-,loan transfer
Samuel Lino,17/18,São Bern. U20,São Bernardo,-,-
Matías Soulé,23/24,Frosinone,Juventus,€25.00m,End of loan
Matías Soulé,23/24,Juventus,Frosinone,€4.00m,loan transfer
Matías Soulé,22/23,Juve Next Gen,Juventus,€2.50m,-
Matías Soulé,21/22,Juventus U19,Juventus U23,-,-
Matías Soulé,20/21,Juventus U17,Juventus U19,-,-
Matías Soulé,19/20,Vélez U20,Juventus U17,-,€2.57m
Marcos Leonardo,23/24,Santos,Benfica,€25.00m,€18.00m
Marcos Leonardo,20/21,Santos U20,Santos,-,-
Oscar Bobb,23/24,Man City U21,Man City,-,-
Oscar Bobb,21/22,Man City U18,Man City U23,-,-
Oscar Bobb,19/20,Vålerenga Yth.,Man City U18,-,?
Oscar Bobb,15/16,Lyn FK Yth.,Vålerenga Yth.,-,?
Bilal El Khannouss,22/23,Jong Genk,KRC Genk,€100k,-
Bilal El Khannouss,21/22,KRC Genk U18,KRC Genk U21,-,-
Bilal El Khannouss,20/21,KRC Genk Youth,KRC Genk U18,-,-
Bilal El Khannouss,19/20,Anderlecht Yth.,KRC Genk Youth,-,free transfer
Manu Koné,20/21,Toulouse,Bor. M'gladbach,€7.00m,End of loan
Manu Koné,20/21,Bor. M'gladbach,Toulouse,€5.00m,loan transfer
Manu Koné,20/21,Toulouse,Bor. M'gladbach,€5.00m,€9.00m
Manu Koné,19/20,Toulouse B,Toulouse,-,-
Manu Koné,18/19,Toulouse U19,Toulouse B,-,-
Manu Koné,16/17,ACBB Youth,Toulouse U19,-,free transfer
Manu Koné,15/16,Paris FC Yth.,ACBB Youth,-,free transfer
Georgiy Sudakov,20/21,Shakhtar II,Shakhtar D.,€100k,-
Georgiy Sudakov,19/20,Shakhtar U19,Shakhtar II,-,-
Georgiy Sudakov,18/19,Shakhtar U17,Shakhtar U19,-,-
Rayan Cherki,19/20,Olymp. Lyon B,Olympique Lyon,€8.00m,-
Rayan Cherki,19/20,Olymp. Lyon U19,Olymp. Lyon B,-,-
Rayan Cherki,18/19,Ol. Lyon Yth.,Olymp. Lyon U19,-,-
Rayan Cherki,10/11,ASSP Jugend,Ol. Lyon Yth.,-,free transfer
Pierre Kalulu,20/21,Olymp. Lyon B,AC Milan,-,€1.39m
Pierre Kalulu,18/19,Olymp. Lyon U19,Olymp. Lyon B,-,-
Pierre Kalulu,17/18,Ol. Lyon Yth.,Olymp. Lyon U19,-,-
Strahinja Pavlovic,22/23,Monaco,RB Salzburg,€5.00m,€7.00m
Strahinja Pavlovic,21/22,FC Basel,Monaco,€5.00m,End of loan
Strahinja Pavlovic,21/22,Monaco,FC Basel,€8.00m,loan transfer
Strahinja Pavlovic,20/21,Cercle Brugge,Monaco,€8.00m,End of loan
Strahinja Pavlovic,20/21,Monaco,Cercle Brugge,€8.00m,loan transfer
Strahinja Pavlovic,19/20,Partizan,Monaco,€10.00m,End of loan
Strahinja Pavlovic,19/20,Monaco,Partizan,€8.00m,loan transfer
Strahinja Pavlovic,19/20,Partizan,Monaco,€8.00m,€10.00m
Strahinja Pavlovic,18/19,Partizan U19,Partizan,-,-
Strahinja Pavlovic,18/19,Partizan U17,Partizan U19,-,-
Strahinja Pavlovic,16/17,Teleoptik U17,Partizan U17,-,End of loan
Strahinja Pavlovic,16/17,Partizan U17,Teleoptik U17,-,loan transfer
Strahinja Pavlovic,16/17,Partizan U15,Partizan U17,-,-
Radu Drăgușin,23/24,Genoa,Tottenham,€20.00m,€25.00m
Radu Drăgușin,23/24,Juventus,Genoa,€8.00m,€9.70m
Radu Drăgușin,22/23,Genoa,Juventus,€8.00m,End of loan
Radu Drăgușin,22/23,Juventus,Genoa,€3.50m,loan transfer
Radu Drăgușin,21/22,Salernitana,Juventus,€3.50m,End of loan
Radu Drăgușin,21/22,Juventus,Salernitana,€3.50m,loan transfer
Radu Drăgușin,21/22,Sampdoria,Juventus,€3.50m,End of loan
Radu Drăgușin,21/22,Juventus,Sampdoria,€3.00m,loan transfer
Radu Drăgușin,20/21,Juventus U23,Juventus,-,-
Radu Drăgușin,20/21,Juventus U19,Juventus U23,-,-
Radu Drăgușin,19/20,Juventus U17,Juventus U19,-,-
Radu Drăgușin,18/19,AS Metropolitan,Juventus U17,-,€2.10m
Radu Drăgușin,13/14,S. Student. U19,AS Metropolitan,-,free transfer
Álex Baena,21/22,Girona,Villarreal,€3.00m,End of loan
Álex Baena,21/22,Villarreal,Girona,€2.50m,loan transfer
Álex Baena,20/21,Villarreal CF B,Villarreal,€200k,-
Álex Baena,19/20,Villarreal U19,Villarreal CF B,-,-
Álex Baena,18/19,Roda U19,Villarreal U19,-,-
Álex Baena,17/18,Villarreal Yth.,Roda U19,-,-
Mohamed Camara,22/23,RB Salzburg,Monaco,€27.00m,€15.00m
Mohamed Camara,19/20,FC Liefering,RB Salzburg,€600k,-
Mohamed Camara,18/19,TSV Hartberg,FC Liefering,€600k,End of loan
Mohamed Camara,18/19,FC Liefering,TSV Hartberg,€400k,loan transfer
Mohamed Camara,17/18,AS Real Bamako,FC Liefering,-,?
Anatoliy Trubin,23/24,Shakhtar D.,Benfica,€22.00m,€10.00m
Anatoliy Trubin,19/20,Shakhtar II,Shakhtar D.,-,-
Anatoliy Trubin,18/19,Shakhtar U17,Shakhtar II,-,-
Fábio Vieira,22/23,FC Porto,Arsenal,€25.00m,€35.00m
Fábio Vieira,19/20,FC Porto B,FC Porto,€625k,-
Fábio Vieira,19/20,FC Porto U19,FC Porto B,-,-
Fábio Vieira,17/18,FC Porto U17,FC Porto U19,-,-
Fábio Vieira,16/17,Padroense U17,FC Porto U17,-,-
Fábio Vieira,15/16,FC Porto U15,Padroense U17,-,-
Fábio Vieira,13/14,FC Porto Youth,FC Porto U15,-,-
Amine Adli,21/22,Toulouse,B. Leverkusen,€6.00m,€7.50m
Amine Adli,19/20,Toulouse B,Toulouse,-,-
Amine Adli,17/18,Toulouse U19,Toulouse B,-,-
Amine Adli,16/17,Toulouse FC U17,Toulouse U19,-,-
Amine Adli,15/16,Béziers Jugend,Toulouse FC U17,-,?
Roger Ibañez,23/24,AS Roma,Al-Ahli,€30.00m,€30.00m
Roger Ibañez,21/22,Atalanta BC,AS Roma,€25.00m,€12.00m
Roger Ibañez,20/21,AS Roma,Atalanta BC,€25.00m,End of loan
Roger Ibañez,19/20,Atalanta BC,AS Roma,€2.00m,loan transfer
Roger Ibañez,18/19,Fluminense,Atalanta BC,€700k,€4.15m
Roger Ibañez,17/18,PRS FC,Fluminense,€50k,€150k
Roger Ibañez,17/18,Fluminense,PRS FC,€50k,End of loan
Roger Ibañez,16/17,PRS FC,Fluminense,-,loan transfer
Roger Ibañez,16/17,Sergipe,PRS FC,-,End of loan
Roger Ibañez,16/17,PRS FC,Sergipe,-,loan transfer
Dani Vivian,20/21,CD Mirandés,Athletic,€1.50m,End of loan
Dani Vivian,20/21,Athletic,CD Mirandés,€200k,loan transfer
Dani Vivian,20/21,Bilbao Athletic,Athletic,€200k,-
Dani Vivian,17/18,CD Basconia,Bilbao Athletic,-,-
Dani Vivian,16/17,Santutxu U19,CD Basconia,-,?
Pepê,21/22,Grêmio,FC Porto,€13.00m,€15.40m
Pepê,16/17,Grêmio U20,Grêmio,-,-
Pepê,15/16,Foz do Iguaçu,Grêmio U20,-,€125k
Pepê,15/16,Coritiba U20,Foz do Iguaçu,-,End of loan
Pepê,15/16,Foz do Iguaçu,Coritiba U20,-,loan transfer
Pepê,14/15,Foz FC U20,Foz do Iguaçu,-,-
Pepê,13/14,Atlético-PR U20,Foz FC U20,-,?
Jesper Lindstrøm,23/24,E. Frankfurt,SSC Napoli,€28.00m,€30.00m
Jesper Lindstrøm,21/22,Bröndby IF,E. Frankfurt,€7.00m,€7.00m
Jesper Lindstrøm,19/20,Bröndby IF U19,Bröndby IF,€50k,-
Jesper Lindstrøm,17/18,Bröndby IF U17,Bröndby IF U19,-,-
Jesper Lindstrøm,15/16,Bröndby Youth,Bröndby IF U17,-,-
Noni Madueke,22/23,PSV Eindhoven,Chelsea,€15.00m,€35.00m
Noni Madueke,20/21,PSV U21,PSV Eindhoven,€4.50m,-
Noni Madueke,19/20,PSV U19,PSV U21,-,-
Noni Madueke,18/19,PSV U17,PSV U19,-,-
Noni Madueke,18/19,Tottenham Yth.,PSV U17,-,free transfer
Riccardo Calafiori,23/24,FC Basel,Bologna,€4.50m,€4.00m
Riccardo Calafiori,22/23,AS Roma,FC Basel,€3.50m,€2.60m
Riccardo Calafiori,21/22,Genoa,AS Roma,€3.50m,End of loan
Riccardo Calafiori,21/22,AS Roma,Genoa,€4.00m,loan transfer
Riccardo Calafiori,20/21,Roma U19,AS Roma,-,-
Riccardo Calafiori,18/19,Roma U17,Roma U19,-,-
Riccardo Calafiori,17/18,AS Rom Youth,Roma U17,-,-
Facundo Medina,20/21,CA Talleres,Lens,€4.50m,€3.50m
Facundo Medina,17/18,River Plate II,CA Talleres,-,€800k
Facundo Medina,16/17,River Plate U20,River Plate II,-,-
Brian Brobbey,22/23,RB Leipzig,Ajax,€9.00m,€16.35m
Brian Brobbey,21/22,Ajax,RB Leipzig,€9.00m,End of loan
Brian Brobbey,21/22,RB Leipzig,Ajax,€7.50m,loan transfer
Brian Brobbey,21/22,Ajax U21,RB Leipzig,€7.50m,free transfer
Brian Brobbey,19/20,Ajax U19,Ajax U21,€1.00m,-
Brian Brobbey,18/19,Ajax U17,Ajax U19,-,-
Brian Brobbey,17/18,Ajax Youth,Ajax U17,-,-
Brian Brobbey,10/11,AFC Youth,Ajax Youth,-,free transfer
Kevin Schade,23/24,SC Freiburg,Brentford,€25.00m,€25.00m
Kevin Schade,22/23,Brentford,SC Freiburg,€25.00m,End of loan
Kevin Schade,22/23,SC Freiburg,Brentford,€12.00m,"Loan fee:
€1.00m"
Kevin Schade,21/22,SC Freiburg II,SC Freiburg,€450k,-
Kevin Schade,19/20,SC Freiburg U19,SC Freiburg II,-,-
Kevin Schade,18/19,E. Cottbus U17,SC Freiburg U19,-,€250k
Kevin Schade,16/17,E. Cottbus Yth.,E. Cottbus U17,-,-
Kevin Schade,14/15,Babelsberg Yth.,E. Cottbus Yth.,-,free transfer
David Neres,22/23,Shakhtar D.,Benfica,€20.00m,€15.30m
David Neres,21/22,Ajax,Shakhtar D.,€20.00m,€12.00m
David Neres,16/17,São Paulo,Ajax,-,€17.40m
David Neres,16/17,São Paulo U20,São Paulo,-,-
David Neres,14/15,São Paulo U17,São Paulo U20,-,-
David Neres,12/13,São Paulo For.,São Paulo U17,-,-
Nathan Collins,23/24,Wolves,Brentford,€22.00m,€26.85m
Nathan Collins,22/23,Burnley,Wolves,€10.00m,€24.30m
Nathan Collins,21/22,Stoke City,Burnley,€8.00m,€14.00m
Nathan Collins,19/20,Stoke U21,Stoke City,-,-
Nathan Collins,18/19,Stoke U18,Stoke U21,-,-
Nathan Collins,16/17,Cherry Orchard FC,Stoke U18,-,?
Youssoufa Moukoko,20/21,B. Dortmund U19,Bor. Dortmund,-,-
Youssoufa Moukoko,19/20,B. Dortmund U17,B. Dortmund U19,-,-
Youssoufa Moukoko,17/18,Dortmund Yth.,B. Dortmund U17,-,-
Youssoufa Moukoko,16/17,St. Pauli Yth.,Dortmund Yth.,-,free transfer
Mattéo Guendouzi,24/25,Marseille,Lazio,€25.00m,€13.00m
Mattéo Guendouzi,23/24,Lazio,Marseille,€25.00m,End of loan
Mattéo Guendouzi,23/24,Marseille,Lazio,€25.00m,"Loan fee:
€1.00m"
Mattéo Guendouzi,22/23,Arsenal,Marseille,€25.00m,€11.00m
Mattéo Guendouzi,21/22,Marseille,Arsenal,€25.00m,End of loan
Mattéo Guendouzi,21/22,Arsenal,Marseille,€20.00m,loan transfer
Mattéo Guendouzi,20/21,Hertha BSC,Arsenal,€20.00m,End of loan
Mattéo Guendouzi,20/21,Arsenal,Hertha BSC,€32.00m,"Loan fee:
€1.00m"
Mattéo Guendouzi,18/19,FC Lorient,Arsenal,€2.50m,€8.00m
Mattéo Guendouzi,16/17,Lorient B,FC Lorient,-,-
Mattéo Guendouzi,15/16,FC Lorient U19,Lorient B,-,-
Mattéo Guendouzi,14/15,Paris SG U17,FC Lorient U19,-,free transfer
Mattéo Guendouzi,13/14,PSG Youth,Paris SG U17,-,-
Rodrigo Riquelme,22/23,Girona,Atlético Madrid,€12.00m,End of loan
Rodrigo Riquelme,22/23,Atlético Madrid,Girona,€2.00m,loan transfer
Rodrigo Riquelme,21/22,CD Mirandés,Atlético Madrid,€2.00m,End of loan
Rodrigo Riquelme,21/22,Atlético Madrid,CD Mirandés,€1.80m,loan transfer
Rodrigo Riquelme,20/21,Bournemouth,Atlético Madrid,€1.80m,End of loan
Rodrigo Riquelme,20/21,Atlético Madrid,Bournemouth,€2.30m,loan transfer
Rodrigo Riquelme,20/21,Atl. Madrid B,Atlético Madrid,€2.30m,-
Rodrigo Riquelme,19/20,Atl. Madrid U19,Atl. Madrid B,-,-
Rodrigo Riquelme,17/18,Atl. Madrid U17,Atl. Madrid U19,-,-
Andrea Cambiaso,22/23,Bologna,Juventus,€8.00m,End of loan
Andrea Cambiaso,22/23,Juventus,Bologna,€5.00m,"Loan fee:
€2.00m"
Andrea Cambiaso,22/23,Genoa,Juventus,€5.00m,€13.30m
Andrea Cambiaso,20/21,Empoli,Genoa,€200k,End of loan
Andrea Cambiaso,20/21,Genoa,Empoli,€150k,loan transfer
Andrea Cambiaso,19/20,Alessandria,Genoa,€175k,End of loan
Andrea Cambiaso,19/20,Genoa,Alessandria,€100k,loan transfer
Andrea Cambiaso,18/19,Savona,Genoa,€100k,End of loan
Andrea Cambiaso,18/19,Genoa,Savona,€75k,loan transfer
Andrea Cambiaso,17/18,Albissola,Genoa,€75k,End of loan
Andrea Cambiaso,17/18,Genoa,Albissola,-,loan transfer
Andrea Cambiaso,17/18,Genoa U19,Genoa,-,-
Andrea Cambiaso,17/18,Genoa U17,Genoa U19,-,-
Galeno,21/22,SC Braga,FC Porto,€12.00m,€9.91m
Galeno,19/20,FC Porto,SC Braga,€3.00m,€3.50m
Galeno,18/19,Rio Ave,FC Porto,€3.00m,End of loan
Galeno,18/19,FC Porto,Rio Ave,€2.00m,loan transfer
Galeno,17/18,Portimonense,FC Porto,€2.00m,End of loan
Galeno,17/18,FC Porto,Portimonense,€750k,loan transfer
Galeno,17/18,FC Porto B,FC Porto,€750k,-
Galeno,17/18,Anápolis,FC Porto B,€600k,€1.50m
Galeno,16/17,FC Porto B,Anápolis,€600k,End of loan
Galeno,16/17,Anápolis,FC Porto B,-,loan transfer
Galeno,15/16,Trindade,Anápolis,-,?
Martin Terrier,20/21,Olympique Lyon,Stade Rennais,€10.50m,€12.00m
Martin Terrier,17/18,R. Strasbourg,Olympique Lyon,€9.00m,End of loan
Martin Terrier,17/18,Olympique Lyon,R. Strasbourg,€12.00m,loan transfer
Martin Terrier,17/18,LOSC Lille,Olympique Lyon,€12.00m,€11.00m
Martin Terrier,17/18,R. Strasbourg,LOSC Lille,€12.00m,End of loan
Martin Terrier,17/18,LOSC Lille,R. Strasbourg,€400k,loan transfer
Martin Terrier,15/16,LOSC Lille U19,LOSC Lille,-,-
Aaron Ramsdale,21/22,Sheff Utd,Arsenal,€12.00m,€28.00m
Aaron Ramsdale,20/21,Bournemouth,Sheff Utd,€12.50m,€20.50m
Aaron Ramsdale,18/19,AFC Wimbledon,Bournemouth,€500k,End of loan
Aaron Ramsdale,18/19,Bournemouth,AFC Wimbledon,€500k,loan transfer
Aaron Ramsdale,17/18,Chesterfield FC,Bournemouth,€500k,End of loan
Aaron Ramsdale,17/18,Bournemouth,Chesterfield FC,€500k,loan transfer
Aaron Ramsdale,16/17,Sheff Utd,Bournemouth,€50k,€940k
Aaron Ramsdale,16/17,Sheff Utd U18,Sheff Utd,-,-
Aaron Ramsdale,15/16,Worksop,Sheff Utd U18,-,End of loan
Aaron Ramsdale,15/16,Sheff Utd U18,Worksop,-,loan transfer
Jakub Kiwior,22/23,Spezia Calcio,Arsenal,€8.00m,€19.50m
Jakub Kiwior,21/22,MSK Zilina,Spezia Calcio,€400k,€2.40m
Jakub Kiwior,19/20,Podbrezova,MSK Zilina,€200k,€250k
Jakub Kiwior,18/19,Anderlecht U21,Podbrezova,-,€10k
Jakub Kiwior,18/19,Anderlecht U19,Anderlecht U21,-,-
Jakub Kiwior,17/18,Anderlecht U17,Anderlecht U19,-,-
Jakub Kiwior,16/17,GKS Tychy,Anderlecht U17,-,€13k
Jakub Kiwior,15/16,GKS Tychy U19,GKS Tychy,-,-
Perr Schuurs,22/23,Ajax,Torino,€7.00m,€9.40m
Perr Schuurs,17/18,Fortuna Sittard,Ajax,€2.00m,End of loan
Perr Schuurs,17/18,Ajax,Fortuna Sittard,€500k,loan transfer
Perr Schuurs,17/18,Fortuna Sittard,Ajax,€500k,€2.00m
Perr Schuurs,16/17,Fortuna U19,Fortuna Sittard,€25k,-
Perr Schuurs,15/16,Fortuna S. U17,Fortuna U19,-,-
Felix Nmecha,23/24,VfL Wolfsburg,Bor. Dortmund,€15.00m,€30.00m
Felix Nmecha,21/22,Man City U23,VfL Wolfsburg,€450k,free transfer
Felix Nmecha,18/19,Man City U18,Man City U23,-,-
Felix Nmecha,17/18,Man City Youth,Man City U18,-,-
Robert Sánchez,23/24,Brighton,Chelsea,€22.00m,€28.70m
Robert Sánchez,20/21,Brighton U23,Brighton,-,-
Robert Sánchez,19/20,Rochdale,Brighton U23,-,End of loan
Robert Sánchez,19/20,Brighton U23,Rochdale,-,loan transfer
Robert Sánchez,18/19,Forest Green,Brighton U23,-,End of loan
Robert Sánchez,18/19,Brighton U23,Forest Green,-,loan transfer
Robert Sánchez,16/17,Brighton U18,Brighton U23,-,-
Robert Sánchez,13/14,Levante UD Yout,Brighton U18,-,?
Robert Sánchez,10/11,Cartagena FC,Levante UD Yout,-,free transfer
Jadon Sancho,23/24,Bor. Dortmund,Man Utd,€25.00m,End of loan
Jadon Sancho,23/24,Man Utd,Bor. Dortmund,€25.00m,loan transfer
Jadon Sancho,21/22,Bor. Dortmund,Man Utd,€100.00m,€85.00m
Jadon Sancho,17/18,Man City U18,Bor. Dortmund,€5.00m,€20.59m
Jadon Sancho,16/17,Man City Youth,Man City U18,-,-
Jadon Sancho,14/15,Watford Yth.,Man City Youth,-,€172k
Emile Smith Rowe,20/21,Arsenal U23,Arsenal,€2.70m,-
Emile Smith Rowe,20/21,Huddersfield,Arsenal U23,€2.70m,End of loan
Emile Smith Rowe,19/20,Arsenal U23,Huddersfield,€3.00m,loan transfer
Emile Smith Rowe,18/19,RB Leipzig,Arsenal U23,€4.00m,End of loan
Emile Smith Rowe,18/19,Arsenal U23,RB Leipzig,-,"Loan fee:
€1.00m"
Emile Smith Rowe,18/19,Arsenal U18,Arsenal U23,-,-
Emile Smith Rowe,16/17,Arsenal Youth,Arsenal U18,-,-
Yoane Wissa,21/22,FC Lorient,Brentford,€10.00m,€10.00m
Yoane Wissa,17/18,Angers SCO,FC Lorient,€300k,€2.00m
Yoane Wissa,17/18,AC Ajaccio,Angers SCO,€300k,End of loan
Yoane Wissa,17/18,Angers SCO,AC Ajaccio,€300k,loan transfer
Yoane Wissa,16/17,Stade Lavallois,Angers SCO,€300k,End of loan
Yoane Wissa,16/17,Angers SCO,Stade Lavallois,€300k,loan transfer
Yoane Wissa,16/17,LB Châteauroux,Angers SCO,-,free transfer
Yoane Wissa,15/16,Châteauroux B,LB Châteauroux,-,-
Lovro Majer,23/24,Stade Rennais,VfL Wolfsburg,€20.00m,€25.00m
Lovro Majer,21/22,Dinamo Zagreb,Stade Rennais,€13.00m,€12.00m
Lovro Majer,18/19,NK Lokomotiva,Dinamo Zagreb,€2.50m,€2.50m
Lovro Majer,16/17,Lokomotiva U19,NK Lokomotiva,-,-
Lovro Majer,15/16,Lokomotiva U17,Lokomotiva U19,-,-
Lovro Majer,13/14,NK Trnje Zagreb,Lokomotiva U17,-,?
Lovro Majer,11/12,Dubrava Tk Jgd.,NK Trnje Zagreb,-,?
Lovro Majer,10/11,D. Zagreb Yth.,Dubrava Tk Jgd.,-,?
Hiroki Ito,22/23,Júbilo Iwata,VfB Stuttgart,€4.50m,€400k
Hiroki Ito,21/22,VfB Stuttgart,Júbilo Iwata,€4.50m,End of loan
Hiroki Ito,21/22,Júbilo Iwata,VfB Stuttgart,€550k,"Loan fee:
€100k"
Hiroki Ito,19/20,Nagoya Grampus,Júbilo Iwata,€150k,End of loan
Hiroki Ito,18/19,Júbilo Iwata,Nagoya Grampus,€75k,loan transfer
Hiroki Ito,17/18,Júbilo U18,Júbilo Iwata,€50k,-
Hiroki Ito,14/15,Júbilo Jg,Júbilo U18,-,-
Sean Longstaff,18/19,Newcastle U23,Newcastle,€150k,-
Sean Longstaff,17/18,Blackpool,Newcastle U23,€150k,End of loan
Sean Longstaff,17/18,Newcastle U23,Blackpool,€75k,loan transfer
